Team,Team_Score
ATL,775.0
LAD,768.5
NYY,759.9
NYM,736.6
TEX,733.5
CIN,728.6
PHI,728.6
ARI,726.7
PIT,721.2
SEA,719.7
TOR,708.8
TB,700.8
CHC,700.5
MIN,697.5
SD,688.3
HOU,686.5
SF,684.9
BAL,680.5
BOS,679.5
STL,677.2
KC,662.9
DET,662.0
MIL,656.8
CLE,651.0
CHW,649.0
OAK,648.8
LAA,648.4
MIA,630.0
WSH,612.1
COL,577.9
